Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:25.977-0500, Frequency : 902750, Phase : 165
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:25.982-0500, Frequency : 902750, Phase : 53
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:26.013-0500, Frequency : 902750, Phase : 56
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:26.019-0500, Frequency : 902750, Phase : 165
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:26.050-0500, Frequency : 902750, Phase : 56
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:26.054-0500, Frequency : 902750, Phase : 163
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:26.088-0500, Frequency : 902750, Phase : 163
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:26.093-0500, Frequency : 902750, Phase : 56
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:26.126-0500, Frequency : 902750, Phase : 59
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:26.130-0500, Frequency : 902750, Phase : 163
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:26.162-0500, Frequency : 902750, Phase : 61
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:26.167-0500, Frequency : 902750, Phase : 165
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:26.200-0500, Frequency : 902750, Phase : 59
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:26.205-0500, Frequency : 902750, Phase : 165
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:26.240-0500, Frequency : 902750, Phase : 64
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:26.245-0500, Frequency : 902750, Phase : 165
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:26.276-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:26.281-0500, Frequency : 902750, Phase : 163
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:26.314-0500, Frequency : 902750, Phase : 64
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:26.319-0500, Frequency : 902750, Phase : 171
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:26.352-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:26.357-0500, Frequency : 902750, Phase : 163
